ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02;¿Quieres jugar al tutorial de combate?
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime;¿Quieres pasar el rato con {Name}?
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial;¿Quieres activar el tutorial del sistema de combate durante tu duelo?
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch;¿Quieres la revancha contra Maelle?
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco;¿Quieres jugar el tutorial de Monoco? (Solo está accesible en este momento).
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel;¿Quieres jugar el tutorial de Sciel? (Solo está accesible en este momento).
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go;¡Ya!
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01;Maelle ha recuperado los recuerdos de su vida de pintora.
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02;Maelle tiene nuevas habilidades a su disposición.
ST_ActiveDialogs/ST_Dialog_Generic_No_01;No.
ST_ActiveDialogs/ST_Dialog_Generic_No_03;¡No!
ST_ActiveDialogs/ST_Dialog_Generic_No_04;¿No?
ST_ActiveDialogs/ST_Dialog_Generic_No_05;No...
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude;¿Quieres que empiece el discurso de Emma? El festival concluirá y la expedición 33 iniciará su viaje.
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01;Este personaje no jugador solo está aquí en la versión de avance.
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01;Sí.
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03;¡Sí!
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02;Sí.
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04;¿Sí?
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05;Sí...
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch;[Pedir la revancha]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack;[Atacar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel;[Cancelar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine;[Examinar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave;[Irte]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant;[Comerciar]
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward;{TimeBronze} para la recompensa de bronce.<br />{TimeSilver} para la recompensa de plata.<br />{TimeGold} para la recompensa de oro.
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01;...
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02;¡...!
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03;¿...?
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity;Absorción
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid;No puedes usar {skills}. Borrones insuficientes.
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid;No puedes usar {skill} en el rango D.
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid;No puedes usar {skill} en el rango S.
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid;No puedes usar {skill}. Todos los aliados siguen con vida.
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid;No puedes usar {skill}. Los aliados no sufren modificaciones de estado.
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid;No puedes usar {skill}. Borrones insuficientes.
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid;No puedes usar {skill}. No hay ningún Augurio en uso.
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid;No puedes usar {skill}. No quedan aliados con vida.
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid;No puedes usar {skill}. No hay suficientes aliados con vida.
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid;No puedes usar {skill}. El objetivo no ha recibido ninguna ventaja.
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid;No puedes usar {skill}. El objetivo no ha recibido ningún Augurio.
ST_BattleTooltips/BATTLETOOLTIP_DarkCleansing_TargetInvalid;No puedes usar {skill}. El objetivo no tiene modificaciones de estado ni puntos de acción.
ST_BattleTooltips/BATTLETOOLTIP_Leadership_Failed;Lanzamiento fallido. {char} no puede perder un rango.
ST_BattleTooltips/BATTLETOOLTIP_Dark_DamageType;Oscuridad
ST_BattleTooltips/BATTLETOOLTIP_Earth_DamageType;Tierra
ST_BattleTooltips/BATTLETOOLTIP_Counter_AOE;La expedición 33 contraataca.
ST_BattleTooltips/BATTLETOOLTIP_Fire_DamageType;Fuego
ST_BattleTooltips/BATTLETOOLTIP_Ice_DamageType;Hielo
ST_BattleTooltips/BATTLETOOLTIP_Light_DamageType;Luz
ST_BattleTooltips/BATTLETOOLTIP_Lightning_DamageType;Rayo
ST_BattleTooltips/BATTLETOOLTIP_Egide_TargetInvalid;Maelle no puede usar {skill} sobre sí misma.
ST_BattleTooltips/BATTLETOOLTIP_Nullify_Affinity;Anulado
ST_BattleTooltips/BATTLETOOLTIP_Physical_DamageType;Físico
ST_BattleTooltips/BATTLETOOLTIP_ReserveTeam_Disabled;El equipo de reserva está incapacitado.
ST_BattleTooltips/BATTLETOOLTIP_Resistant_Affinity;Resistencia
ST_BattleTooltips/BATTLETOOLTIP_Intervention_TargetInvalid;Sciel no puede usar {skill} sobre sí misma.
ST_BattleTooltips/BATTLETOOLTIP_SimonDuel;Simon acepta tu duelo.
ST_BattleTooltips/BATTLETOOLTIP_Flee_Successful;La expedición huye.
ST_BattleTooltips/BATTLETOOLTIP_Flee_Impossible;La expedición no puede huir de este combate.
ST_BattleTooltips/BATTLETOOLTIP_Flee_Start;La expedición se dispone a huir.
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Start;Verso prepara un golpe poderoso.
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Success;Verso desata su Golpe de acero.
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Fail;El Golpe de acero de Verso sufre una interrupción.
ST_BattleTooltips/BATTLETOOLTIP_Void_DamageType;Vacío
