abysseram;gustave;physical;vitality;defense;en;ST_Items/ITEM_Abysseram_Name;;Bourgeon, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_IncreasedDamageOnRankD_Description;ST_PassiveEffects/PASSIVE_AugmentedAttack_Description;ST_PassiveEffects/PASSIVE_Perfection_AttackLifestealOnD_Description
baguette;gustave;void;agility;defense;en;ST_Items/ITEM_SkinVerso_Baguette_Name;;;;;
blodam;gustave;light;agility;defense;en;ST_Items/ITEM_Blodam_Name;;Chromatic Reaper Cultist, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_PerfectionBaseOnCurrentHP_Description;ST_PassiveEffects/PASSIVE_SkillsLightDMG+_Description;ST_PassiveEffects/PASSIVE_Perfection_GainAPOnRankUp_Description
chevalam;gustave;physical;luck;agility;en;ST_Items/ITEM_Chevalam_Name;Crimson Forest;;ST_PassiveEffects/PASSIVE_Perfection_StartRankSButNoHeal_Description;ST_PassiveEffects/PASSIVE_DMG+WhenNoDMGTaken_Description;ST_PassiveEffects/PASSIVE_Perfection_RushOnS_Description
confuso;gustave;light;luck;agility;en;ST_Items/ITEM_Confuso_Name;;;ST_PassiveEffects/PASSIVE_LightDMGBurnOnCrit_Description;ST_PassiveEffects/PASSIVE_MarkIsBurn_Description;ST_PassiveEffects/PASSIVE_Perfection_BurnDamagePerRank_Description
contorso;gustave;lightening;defense;agility;en;ST_Items/ITEM_Moissoso_Name;;Contorsionniste, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_SwitchRankSOnBreak_Description;ST_PassiveEffects/PASSIVE_Perfection_AlwaysCritOnRankS_Description;ST_PassiveEffects/PASSIVE_TriggerLightningOnCrit_Description
corpeso;gustave;fire;agility;vitality;en;ST_Items/ITEM_Corpeso_Name;;Noire, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_BurnOnBaseAtkPerRank_Description;ST_PassiveEffects/PASSIVE_Perfection_GainAPOnRankUp_Description;ST_PassiveEffects/PASSIVE_Perfection_BurnDamagePerRank_Description
cruleram;gustave;ice;defense;luck;en;ST_Items/ITEM_Cruleram_Name;;Chromatic Cruler, Optional Bosses, Cruler, Strong Enemies, Bruler, Merchants;ST_PassiveEffects/PASSIVE_Perfection_NoPerfectionLossOnPowerlessEnemy_Description;ST_PassiveEffects/PASSIVE_Perfection_Perfection+1OnPowerlessEnemy_Description;ST_PassiveEffects/PASSIVE_PowerlessOnCounter_Description
cultam;gustave;shadow;agility;defense;en;ST_Items/ITEM_Cultam_Name;;Grandis, Merchants;ST_PassiveEffects/PASSIVE_Perfection_PerfectionLostOnHeal_Description;ST_PassiveEffects/PASSIVE_APOnCounter_Description;ST_PassiveEffects/PASSIVE_Perfection_RankUpOnCounter_Description
danseso;gustave;fire;luck;agility;en;ST_Items/ITEM_Danseso_Name;;Chromatic Danseuse, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_DoublePerfectionVSBurn_Description;ST_PassiveEffects/PASSIVE_PowerfulBurn_Description;ST_PassiveEffects/PASSIVE_Perfection_GainAPOnRankUp_Description
delaram;gustave;light;luck;vitality;en;ST_Items/ITEM_Delaram_Name;Stone Wave Cliffs;;ST_PassiveEffects/PASSIVE_Perfection_StartRankBButLessHP_Description;ST_PassiveEffects/PASSIVE_AttackLifesteal_Description;ST_PassiveEffects/PASSIVE_Perfection_PowerfulOnB_Description
demonam;gustave;light;agility;defense;en;ST_Items/ITEM_Demonam_Name;;Jujubree, Merchants;ST_PassiveEffects/PASSIVE_DMG+OnAlternatingPhysicalLight_Description;ST_PassiveEffects/PASSIVE_SkillsPhysicalDMG+_Description;ST_PassiveEffects/PASSIVE_LightSkillsRegenHP_Description
dreameso;gustave;physical;agility;luck;en;ST_Items/ITEM_Sireso_2_Name;;Clair Obscur, Optional Bosses;ST_PassiveEffects/PASSIVE_Perfection_RankUpOnCounter_Description;ST_PassiveEffects/PASSIVE_AugmentedCounter_Description;ST_PassiveEffects/PASSIVE_APOnCounter_Description
